228    0.0011	# Extrapolated
347.1898	0.23546572769953056
347.3461	0.23563755868544603
347.5025	0.23586666666666667
347.6588	0.235981220657277
347.8151	0.23615305164319247
347.9714	0.2362676056338028
348.1278	0.2364394366197183
348.2841	0.23666854460093897
348.4404	0.2367830985915493
348.5968	0.2369549295774648
348.753	0.23706948356807514
348.9094	0.23729859154929575
349.0657	0.23735586854460095
349.2221	0.23758497652582158
349.3784	0.23769953051643192
349.5347	0.23787136150234742
349.6909	0.23798591549295775
349.8474	0.23810046948356808
350.0037	0.23832957746478875
350.16	0.23838685446009392
350.3163	0.23861596244131458
350.4727	0.23873051643192486
350.629	0.23878779342723006
350.7852	0.2390169014084507
350.9416	0.23913145539906103
351.098	0.2393032863849765
351.2543	0.23941784037558686
351.4106	0.2395323943661972
351.5669	0.23964694835680753
351.7233	0.239818779342723
351.8796	0.23993333333333336
352.0359	0.24016244131455397
352.1922	0.24021971830985916
352.3486	0.2404488262910798
352.5049	0.24056338028169014
352.6612	0.24062065727699528
352.8175	0.24084976525821597
352.9739	0.2409643192488263
353.1302	0.24107887323943664
353.2865	0.2412507042253521
353.4428	0.24136525821596247
353.5991	0.24147981220657275
353.7555	0.24165164319248827
353.9118	0.24176619718309855
354.0681	0.24188075117370897
354.2244	0.2419380281690141
354.3808	0.24216713615023477
354.5371	0.24228169014084505
354.6934	0.2423962441314554
354.8497	0.24256807511737088
355.0061	0.24268262910798122
355.1623	0.24279718309859155
355.3187	0.24296901408450705
355.475	0.24302629107981225
355.6314	0.24314084507042252
355.7877	0.24336995305164322
355.944	0.2434845070422535
356.1003	0.24359906103286388
356.2567	0.24382816901408452
356.413	0.24388544600938972
356.5693	0.244
356.7256	0.24422910798122066
356.882	0.24422910798122066
